(0,2)   (0,249) (7,75)  (7,176) (8,111) (8,140)
        (9,95)  (9,156) (11,51) (11,200)        (14,1)  (14,250)
        (15,70) (15,181)        (16,10) (16,241)        (18,9)  (18,242)        
        (19,119)        (19,132)        (20,69) (20,182)        (25,43) (25,208)
        (26,6)  (26,245)        (28,30) (28,221)        (29,122)        (29,129)
        (31,31) (31,220)        (32,26) (32,225)        (33,9)  (33,242)        
        (37,69) (37,182)        (38,14) (38,237)        (40,87) (40,164)        
        (41,106)        (41,145)        (42,66) (42,185)        (46,91) (46,160)
        (47,100)        (47,151)        (48,63) (48,188)        (53,51) (53,200)
        (55,71) (55,180)        (56,27) (56,224)        (57,4)  (57,247)
        (58,30) (58,221)        (59,56) (59,195)        (60,63) (60,188)
        (61,49) (61,202)        (62,114)        (62,137)        (63,108)        (63,143)
        (65,10) (65,241)        (68,1)  (68,250)        (69,104)        (69,147)
        (70,31) (70,220)        (71,78) (71,173)        (75,104)        (75,147)
        (77,48) (77,203)        (82,42) (82,209)        (84,92) (84,159)
        (85,45) (85,206)        (86,83) (86,168)        (87,35) (87,216)
        (89,76) (89,175)        (90,21) (90,230)        (91,72) (91,179)
        (94,25) (94,226)        (95,73) (95,178)        (99,6)  (99,245)
        (101,94)        (101,157)       (102,60)        (102,191)       (104,50)        (104,201)
        (105,97)        (105,154)       (106,70)        (106,181)       (107,104)       (107,147)
        (109,22)        (109,229)       (112,85)        (112,166)       (113,39)        (113,212)
        (114,3) (114,248)       (117,75)        (117,176)       (118,46)        (118,205)
        (119,90)        (119,161)       (120,95)        (120,156)       (122,95)        (122,156)
        (123,64)        (123,187)       (124,77)        (124,174)       (126,6) (126,245)
        (127,75)        (127,176)       (128,44)        (128,207)       (130,70)        (130,181)
        (134,77)        (134,174)       (136,24)        (136,227)       (141,82)        (141,169)
        (143,63)        (143,188)       (148,84)        (148,167)       (149,115)       (149,136)
        (150,31)        (150,220)       (154,11)        (154,240)       (155,82)        (155,169)
        (156,47)        (156,204)       (158,3) (158,248)       (161,123)       (161,128)
        (162,16)        (162,235)       (164,17)        (164,234)       (165,30)        (165,221)
        (169,1) (169,250)       (170,10)        (170,241)       (172,58)        (172,193)
        (173,39)        (173,212)       (174,88)        (174,163)       (181,94)        (181,157)
        (183,42)        (183,209)       (184,25)        (184,226)       (185,29)        (185,222)
        (187,51)        (187,200)       (189,8) (189,243)       (190,86)        (190,165)
        (192,117)       (192,134)       (193,83)        (193,168)       (194,69)        (194,182)
        (197,37)        (197,214)       (199,54)        (199,197)       (200,9) (200,242)
        (202,5) (202,246)       (204,53)        (204,198)       (206,82)        (206,169)
        (208,71)        (208,180)       (210,103)       (210,148)       (213,125)       (213,126)
        (214,4) (214,247)       (215,91)        (215,160)       (216,39)        (216,212)
        (217,18)        (217,233)       (219,33)        (219,218)       (220,94)        (220,157)
        (223,83)        (223,168)       (224,25)        (224,226)       (228,102)       (228,149)
        (230,3) (230,248)       (231,4) (231,247)       (232,107)       (232,144)
        (234,40)        (234,211)       (237,42)        (237,209)       (239,71)        (239,180)
        (241,91)        (241,160)       (243,57)        (243,194)       (244,77)        (244,174)
        (246,80)        (246,171)       (248,15)        (248,236)       (249,112)       (249,139)
